,date,cases_roll_avg,deaths_roll_avg,first_roll_avg,second_roll_avg,third_roll_avg,hospitalCases_roll_avg,newAdmissions_roll_avg,slope_cases_roll_avg,slope
256,2021-07-19,4330.714285714285,5.142857142857143,6432.428571428572,28062.428571428572,19.714285714285715,756.1428571428571,124.85714285714286,-234.57142857142935,-0.05416460498103268
257,2021-07-18,4565.285714285715,5.0,6606.0,28461.571428571428,18.428571428571427,711.0,120.71428571428571,-280.28571428571377,-0.06139499953061915
258,2021-07-17,4845.571428571428,4.428571428571429,7090.285714285715,28384.85714285714,19.428571428571427,673.5714285714286,115.85714285714286,-458.42857142857156,-0.09460774197352519
259,2021-07-16,5304.0,4.142857142857143,7434.857142857143,28208.285714285714,18.857142857142858,643.4285714285714,113.14285714285714,-500.57142857142844,-0.09437621202327082
260,2021-07-15,5804.571428571428,3.0,7908.571428571428,27854.285714285714,18.142857142857142,620.5714285714286,104.85714285714286,-255.71428571428623,-0.044053947627485816
261,2021-07-14,6060.285714285715,3.142857142857143,8240.0,27898.0,15.571428571428571,595.8571428571429,99.14285714285714,-21.42857142857065,-0.0035359011833481337
262,2021-07-13,6081.714285714285,2.5714285714285716,8668.142857142857,27687.571428571428,15.857142857142858,574.7142857142857,94.28571428571429,166.71428571428532,0.02741238372639287
263,2021-07-12,5915.0,2.4285714285714284,9004.42857142857,27164.714285714286,16.0,555.7142857142857,91.28571428571429,177.14285714285688,0.029948073904117817
264,2021-07-11,5737.857142857143,2.7142857142857144,9218.42857142857,25854.285714285714,16.142857142857142,540.4285714285714,86.28571428571429,261.2857142857147,0.04553715921822489
265,2021-07-10,5476.571428571428,2.857142857142857,9910.42857142857,25135.428571428572,15.571428571428571,519.0,81.14285714285714,497.42857142857156,0.09082846410684477
266,2021-07-09,4979.142857142857,2.7142857142857144,10819.857142857143,24724.0,14.571428571428571,497.85714285714283,78.71428571428571,590.1428571428569,0.11852298158030637
267,2021-07-08,4389.0,2.142857142857143,11695.285714285714,24035.0,16.428571428571427,474.42857142857144,78.14285714285714,296.14285714285734,0.06747387950395474
268,2021-07-07,4092.8571428571427,2.0,12247.285714285714,23657.428571428572,18.285714285714285,454.0,74.71428571428571,183.85714285714266,0.044921465968586344
269,2021-07-06,3909.0,1.8571428571428572,12546.857142857143,23476.14285714286,18.428571428571427,435.0,69.57142857142857,158.28571428571422,0.04049263604136972
270,2021-07-05,3750.714285714286,2.142857142857143,13238.42857142857,23846.714285714286,18.714285714285715,413.57142857142856,63.714285714285715,92.85714285714312,0.02475718910683686
271,2021-07-04,3657.8571428571427,2.142857142857143,14176.714285714286,24100.0,18.571428571428573,394.14285714285717,62.0,81.14285714285688,0.022183167350126858
272,2021-07-03,3576.714285714286,2.0,15055.0,23834.428571428572,18.857142857142858,376.7142857142857,58.857142857142854,101.42857142857156,0.0283580301154292
273,2021-07-02,3475.285714285714,1.8571428571428572,15552.285714285714,23736.85714285714,19.0,360.7142857142857,53.714285714285715,84.0,0.02417067455913183
274,2021-07-01,3391.285714285714,2.4285714285714284,16167.285714285714,24211.285714285714,17.571428571428573,349.0,46.714285714285715,202.57142857142844,0.05973292893550693
275,2021-06-30,3188.714285714286,2.4285714285714284,17333.0,24823.285714285714,18.285714285714285,337.14285714285717,45.142857142857146,146.57142857142844,0.045965682541104745
276,2021-06-29,3042.1428571428573,2.2857142857142856,18713.0,25169.428571428572,18.857142857142858,325.7142857142857,45.0,141.0,0.04634890819441183
277,2021-06-28,2901.1428571428573,2.4285714285714284,19813.14285714286,25197.714285714286,19.571428571428573,316.85714285714283,41.57142857142857,106.14285714285734,0.036586566870199004
278,2021-06-27,2795.0,2.2857142857142856,21460.0,25920.285714285714,19.857142857142858,304.2857142857143,39.285714285714285,137.14285714285734,0.049067211857909604
279,2021-06-26,2657.8571428571427,2.0,24026.85714285714,26376.0,18.285714285714285,296.85714285714283,38.285714285714285,126.71428571428532,0.047675356087073226
280,2021-06-25,2531.1428571428573,2.2857142857142856,26169.0,26917.571428571428,20.142857142857142,291.57142857142856,37.42857142857143,162.71428571428578,0.06428490800316065
281,2021-06-24,2368.4285714285716,1.5714285714285714,28465.714285714286,26721.571428571428,22.285714285714285,285.42857142857144,36.285714285714285,158.71428571428578,0.06701248567464868
282,2021-06-23,2209.714285714286,1.7142857142857142,29870.714285714286,25930.14285714286,22.571428571428573,280.57142857142856,33.142857142857146,172.71428571428578,0.07816136539953455
283,2021-06-22,2037.0,2.0,31121.714285714286,26044.285714285714,22.142857142857142,280.42857142857144,29.571428571428573,174.1428571428571,0.08548986604951257
284,2021-06-21,1862.857142857143,1.8571428571428572,31343.714285714286,25797.85714285714,22.0,280.57142857142856,27.857142857142858,131.28571428571422,0.07047546012269935
285,2021-06-20,1731.5714285714287,1.7142857142857142,32601.571428571428,25006.714285714286,21.571428571428573,284.7142857142857,27.0,114.0,0.06583615213266232
286,2021-06-19,1617.5714285714287,1.8571428571428572,34716.142857142855,25002.285714285714,22.571428571428573,287.57142857142856,26.428571428571427,145.57142857142867,0.08999381789278466
287,2021-06-18,1472.0,2.0,35546.857142857145,25220.14285714286,21.571428571428573,288.0,26.428571428571427,94.14285714285711,0.06395574534161488
288,2021-06-17,1377.857142857143,2.0,35870.28571428572,25776.0,20.571428571428573,290.0,27.714285714285715,115.42857142857156,0.08377397615344748
289,2021-06-16,1262.4285714285713,11.714285714285714,36132.142857142855,26465.428571428572,19.0,289.57142857142856,27.142857142857142,69.71428571428555,0.05522236052959137
290,2021-06-15,1192.7142857142858,11.714285714285714,36112.71428571428,27065.0,19.428571428571427,288.0,28.714285714285715,63.71428571428578,0.05341957120613252
291,2021-06-14,1129.0,11.857142857142858,36016.28571428572,28272.571428571428,19.285714285714285,285.42857142857144,30.714285714285715,29.14285714285711,0.025812982411742347
292,2021-06-13,1099.857142857143,11.857142857142858,35384.142857142855,28759.571428571428,19.428571428571427,283.85714285714283,31.0,21.71428571428578,0.01974282374334335
293,2021-06-12,1078.142857142857,11.714285714285714,34230.42857142857,28965.14285714286,19.142857142857142,278.7142857142857,30.428571428571427,14.28571428571422,0.013250298131707904
294,2021-06-11,1063.857142857143,11.571428571428571,33949.71428571428,29576.85714285714,19.285714285714285,274.85714285714283,30.714285714285715,43.428571428571445,0.040821807439237294
295,2021-06-10,1020.4285714285714,12.0,33580.28571428572,30302.85714285714,21.142857142857142,270.0,30.428571428571427,12.285714285714334,0.012039759204815951
296,2021-06-09,1008.1428571428571,2.2857142857142856,33099.42857142857,31112.714285714286,23.142857142857142,269.0,31.571428571428573,29.14285714285711,0.028907467762505284
297,2021-06-08,979.0,2.142857142857143,32013.571428571428,31919.571428571428,24.0,263.2857142857143,29.142857142857142,27.285714285714334,0.027871005399095337
298,2021-06-07,951.7142857142857,1.7142857142857142,31570.0,32685.714285714286,22.857142857142858,258.57142857142856,26.857142857142858,14.28571428571422,0.015010507355148537
299,2021-06-06,937.4285714285714,1.5714285714285714,31516.85714285714,33369.57142857143,22.428571428571427,255.14285714285714,25.857142857142858,24.85714285714289,0.026516306004267028
300,2021-06-05,912.5714285714286,1.8571428571428572,30457.285714285714,34796.0,20.857142857142858,252.85714285714286,24.285714285714285,33.714285714285666,0.03694427050720095
301,2021-06-04,878.8571428571429,1.4285714285714286,29863.285714285714,35168.0,21.428571428571427,250.71428571428572,22.571428571428573,28.428571428571445,0.032347204161248394
302,2021-06-03,850.4285714285714,1.5714285714285714,29563.0,35545.57142857143,20.0,246.71428571428572,21.285714285714285,37.571428571428555,0.044179405341844426
303,2021-06-02,812.8571428571429,1.1428571428571428,29416.0,35495.857142857145,16.857142857142858,242.57142857142858,19.285714285714285,54.571428571428555,0.06713532513181017
